File,CountClassBase,CountClassCoupled,CountClassDerived,CountDeclInstanceVariablePrivate,CountDeclMethod,CountInput,CountLine,CountOutput,Cyclomatic,MaxInheritanceTree,MaxNesting,Churn,ChurnTotal,Unique,Crashes,Security
toolkit/crashreporter/breakpad-client/windows/handler/exception_handler.cc,31,0,1920,0,84,1,2,239,194,3,0,5,121,1,12868048,0
xpcom/threads/nsThread.cpp,39,8,2264,0,138,5,9,294,154,24,4,31,1369,12,11543045,0
toolkit/crashreporter/nsExceptionHandler.cpp,120,4,7393,0,391,3,3,626,410,9,2,22,471,12,10086952,0
dom/ipc/ContentParent.cpp,210,8,10301,0,725,7,13,1615,612,26,7,108,2384,37,9441199,0
xpcom/threads/nsThreadUtils.cpp,46,4,1243,0,114,2,8,251,426,7,1,25,379,12,6355680,0
ipc/chromium/src/base/message_loop.cc,39,1,1275,0,113,1,7,224,280,11,2,8,144,5,5254123,0
xpcom/threads/nsTimerImpl.cpp,26,0,1328,0,94,0,0,176,182,0,0,5,85,3,4761057,0
xpcom/threads/TimerThread.cpp,37,5,1691,0,100,5,10,199,75,23,2,8,129,4,4735321,0
ipc/glue/MessagePump.cpp,17,3,818,0,50,1,1,101,34,6,2,7,44,2,4562520,0
ipc/glue/MessageChannel.cpp,109,4,6819,0,409,13,19,829,349,42,4,22,411,11,2336839,1
js/src/vm/Interpreter.cpp,142,2,10287,1,1647,2,7,1183,958,14,4,36,430,12,1287346,1
ipc/glue/CrashReporterHost.cpp,0,0,304,0,1,0,0,9,3,0,0,10,205,4,1197719,0
xpcom/threads/nsThreadUtils.h,17,36,2729,615,86,10,38,154,524,120,64,31,2047,8,1104391,0
js/src/jsgc.cpp,359,6,16045,0,1150,26,39,2818,1609,53,6,70,2616,15,829003,1
toolkit/crashreporter/breakpad-client/linux/handler/exception_handler.cc,26,0,1372,0,77,0,2,198,139,0,0,1,10,1,607255,0
xpcom/base/nsDebugImpl.cpp,9,1,1089,0,74,0,0,69,114,2,1,3,34,2,598335,0
memory/mozalloc/mozalloc_abort.cpp,0,0,103,0,1,0,0,2,2,0,0,1,2,1,556983,0
layout/base/nsDocumentViewer.cpp,229,6,8747,0,732,3,40,964,401,57,7,29,767,18,519444,1
nsprpub/pr/src/threads/combined/pruthr.c,84,0,3506,0,301,0,0,395,371,0,0,0,0,0,484724,0
nsprpub/pr/src/md/windows/w95thred.c,12,0,598,0,40,0,0,58,51,0,0,0,0,0,449647,0
layout/base/PresShell.cpp,413,5,19827,0,1457,4,20,2408,1085,12,3,120,1883,40,420014,1
xpcom/base/nsCycleCollector.cpp,217,15,10726,2,599,58,169,1168,953,239,13,18,326,6,405475,0
dom/ipc/ContentChild.cpp,114,2,6795,0,447,4,10,978,369,25,3,98,2079,33,403626,1
toolkit/crashreporter/breakpad-client/mac/handler/exception_handler.cc,36,0,1500,0,83,0,1,188,127,1,0,0,0,0,400711,0
toolkit/components/terminator/nsTerminator.cpp,18,0,938,0,48,0,0,85,28,4,0,2,4,2,359480,0
js/xpconnect/src/XPCWrappedNative.cpp,96,0,4942,0,293,14,21,602,222,20,0,5,37,5,352151,1
js/src/gc/Marking.cpp,138,7,6322,0,504,3,21,1055,1063,14,13,20,302,5,324367,1
dom/base/nsDocument.cpp,726,13,26829,0,2200,15,107,3847,1772,57,10,135,2931,40,311725,1
widget/android/nsAppShell.cpp,37,6,1730,0,123,0,30,205,94,21,5,12,36,8,302377,0
gfx/thebes/gfxPlatform.cpp,133,10,5780,0,408,5,32,768,355,31,8,60,737,23,297144,0
docshell/base/nsDocShell.cpp,753,5,29688,0,2913,37,31,3613,1398,15,3,115,1909,34,288087,1
dom/base/nsGlobalWindow.cpp,992,34,29295,1,2679,39,329,5090,2155,119,24,130,3851,40,280389,1
js/xpconnect/src/XPCWrappedNativeJSOps.cpp,67,0,2223,0,224,0,0,378,179,0,0,8,112,3,277941,1
